datalen,pkglen,wxplain,rxplain,tpplain,wxenc,rxenc,tpenc
256,64,2374,2373,102.043,7011,6957,34.332
256,128,1984,1984,123.023,4359,4357,55.313
256,256,1826,1825,133.514,4566,4564,53.405
256,512,1794,1793,135.421,4004,4000,61.035
256,1024,3620,3619,66.757,3999,3999,61.035
256,1500,4164,4163,58.174,6350,6349,38.146
256,2048,5858,5858,41.007,6786,6786,35.285
256,4096,7244,7244,33.378,14762,14761,16.212
1024,64,5990,5990,162.124,25779,25744,37.193
1024,128,5083,5080,191.688,15791,15780,61.035
1024,256,7693,7690,126.838,12017,12006,81.062
1024,512,7630,7624,127.792,10479,10462,92.506
1024,1024,8979,8971,108.718,10401,10397,93.460
1024,1500,6117,6113,159.263,8388,8382,116.348
1024,2048,7235,7231,134.468,15695,15691,61.988
1024,4096,9443,9439,102.996,19644,19639,49.591
102400,64,566135,566032,171.661,2574795,2574055,37.193
102400,128,463435,463076,210.762,1453334,1452389,66.757
102400,256,466927,466364,208.854,1001071,999837,97.274
102400,512,470744,470309,206.947,817760,814556,119.209
102400,1024,559088,555566,175.476,647698,646839,150.680
102400,1500,473516,470463,206.947,855247,851470,114.440
102400,2048,469620,469434,207.901,675846,674437,144.004
102400,4096,473209,472920,205.993,678563,678160,143.051
10240000,64,58794741,58775088,165.939,235586278,235526531,41.007
10240000,128,65083575,65050832,149.726,142743366,142605163,67.710
10240000,256,46880984,46865011,207.901,93771906,93657132,103.950
10240000,512,46819859,46789512,207.901,79643396,79489791,122.070
10240000,1024,54723921,54461199,179.290,77112295,76962840,126.838
10240000,1500,46864971,46838235,207.901,87456580,87413317,111.579
10240000,2048,46988491,46945867,207.901,67830549,67788232,144.004
10240000,4096,47003602,46973263,206.947,82449500,82349353,118.255
