latency,pkglen,connect,await
0,64,79.986,79.946
0,128,80.118,80.078
0,256,40.037,40.036
0,512,40.024,40.024
0,1024,40.093,40.092
0,1500,.723,.723
0,2048,.619,.618
0,4096,.588,.588
2,64,92.768,92.731
2,128,92.567,92.537
2,256,49.066,49.070
2,512,49.572,49.575
2,1024,49.598,49.602
2,1500,9.751,9.755
2,2048,9.812,9.815
2,4096,10.414,10.418
20,64,200.041,200.002
20,128,200.040,200.000
20,256,119.954,119.994
20,512,119.963,120.003
20,1024,119.944,119.984
20,1500,81.301,81.341
20,2048,81.287,81.327
20,4096,82.037,82.077
